impound_no,Animal_ID,Data_Source,Record_Type,Link,Current_Location,Animal_Name,animal_type,Age,Animal_Gender,Animal_Breed,Animal_Color,Date,Date_Type,Obfuscated_Address,City,State,Zip,jurisdiction,obfuscated_latitude,obfuscated_longitude,Image,image_alt_text,Memo,Temperament
K25-179556,A729880,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2950727,LOST,Honey,Dog,Over 1 year<p/>,Female,Doberman Pinscher,Brown,"Jun 06, 2025",Date Lost,15200 block of  SE 273RD PL,Kent,,98042,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2950727,Image Copyright HLP Inc. 2025,"Description: She's brown cropped tail floppy ears very friendly <p/>Age: Over 1 year<p/>Location Lost: 15219 Southeast 273rd Place, , Kent WA  98042<p/>Lost Date: 2025-06-06<p/>",
K25-180668,A731727,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2964129,LOST,Bacca,Cat,Over 1 year<p/>,Male,Siamese,Black,"Jul 09, 2025",Date Lost,3800 block of  NE 155th Pl,Lake Forest Park,,98155,LAKE FOREST PAR,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2964129,Image Copyright HLP Inc. 2025,"Description: Black / green eyes<p/>Age: Over 1 year<p/>Location Lost: 3825 ne 155 th pl, Seattle WA  98155<p/>Lost Date: 2025-07-09<p/>",
K25-179921,A730501,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2954748,LOST,Perla,Cat,Under 1 year<p/>,Female,Persian,White,"Jun 17, 2025",Date Lost,SE  96TH PLACE & 123RD AVE SE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2954748,Image Copyright HLP Inc. 2025,"Description: Perla is a SIBERIAN breed of cat. She is a mostly white colorpoint with grey tips and grey tail (very fluffy tail). Some dark areas on  bottom of  paws. 11 months old FEMALE. Blue eyes. Approx 8 lbs. Unaltered.  King County Pet License Number: L25-726961 <p/><p/>Age: Under 1 year<p/>Location Lost: SE 96th Place  &  123rd Ave SE, Renton WA  98056<p/>Lost Date: 2025-06-17<p/>",
K25-180222,A730993,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2957882,LOST,Thomas/ Tomm,Cat,Over 1 year<p/>,Male,Scottish Fold,Unknown,"Jun 26, 2025",Date Lost,29200 block of  Military Rd S,Federal Way,,98003,FEDERAL WAY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2957882,Image Copyright HLP Inc. 2025,"Description: Grey long fur Scottish straight male, very friendly but skittish.<p/>Age: Over 1 year<p/>Location Lost: 29225 Military road , Federal Way WA  98003<p/>Lost Date: 2025-06-26<p/>",
K25-180116,A730879,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2957095,LOST,Yameko,Cat,Over 1 year<p/>,Male,Domestic Mediumhair,Brown,"Jun 22, 2025",Date Lost,6000 block of  51ST AVE S,Seattle,,98118,SEATTLE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2957095,Image Copyright HLP Inc. 2025,"Description: Black/brown tabby male. Bushy raccoon -type tail. Yellow green eyes. 11 lbs<p/>Age: Over 1 year<p/>Location Lost: 6011 51st Ave South, Seattle WA  98118<p/>Lost Date: 2025-06-22<p/>",
K25-180726,A731793,Regional Animal Services of King County,FOUND,https://kingcounty.gov/en/dept/executive-services/animals-pets-pests/regional-animal-services/overview-about,In RASKC Foster Home,River,Cat,1 YEAR,Female,Domestic Shorthair,Black,"Jul 10, 2025",Received on,11100 block of  SE 218TH PL,KENT,WA,98031,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A731793,Image Copyright HLP Inc. 2025,Received on: 2025-07-10<p/> Found Near: 11100 block of  SE 218TH PL<p/> Description: Black Female Domestic Shorthair Cat<p/> Age: 1 YEAR<p/> Current Location: In RASKC Foster Home <p/>,
K25-180929,A732132,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2966889,LOST,Otis,Cat,Over 1 year<p/>,Male,American Shorthair,Unknown,"Jul 15, 2025",Date Lost,2600 block of  118TH AVE SE,Bellevue,,98005,BELLEVUE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2966889,Image Copyright HLP Inc. 2025,"Description: Black, tall, long limbs, long tail, smooth coat that kind of sticks out in spikes. Very friendly, wary of strangers.<p/>Age: Over 1 year<p/>Location Lost: 2630 118th Ave SE, Bellevue WA  98005<p/>Lost Date: 2025-07-15<p/>",
K25-180569,A731570,Regional Animal Services of King County,FOUND,https://kingcounty.gov/en/dept/executive-services/animals-pets-pests/regional-animal-services/overview-about,In RASKC Foster Home,,Cat,NO AGE,Male,Domestic Shorthair,Black / White,"Jul 07, 2025",Received on,18000 block of  32ND AVE S,SEATAC,WA,98188,SEATAC,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A731570,Image Copyright HLP Inc. 2025,Received on: 2025-07-07<p/> Found Near: 18000 block of  32ND AVE S<p/> Description: Black / White Male Domestic Shorthair Cat<p/> Age: NO AGE<p/> Current Location: In RASKC Foster Home <p/>,
K25-181060,A732279,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2967894,LOST,Koa Roo,Cat,Over 1 year<p/>,Female,Domestic Shorthair,Unknown,"Jul 16, 2025",Date Lost,116th  Ave SE & SE Petrovitsky Rd,Renton,,98058,RENTON,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2967894,Image Copyright HLP Inc. 2025,"Description: 10 yr old gray tabby. Fur is thin on her back legs and belly. Green/gold eye color. <p/>Age: Over 1 year<p/>Location Lost: 116th Ave SE and Petrovitsky , Renton WA  98055<p/>Lost Date: 2025-07-16<p/>",
K25-180943,A732145,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A732145,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Barn Cat Auva,Cat,8 MONTHS,Unknown,Domestic Shorthair,Brn Tabby,"Jul 16, 2025",Received on,23800 block of  111TH PL SE,KENT,WA,98031,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A732145,Image Copyright HLP Inc. 2025,"Received on: 2025-07-16<p/> Found Near: 23800 block of  111TH PL SE<p/> Description: Brn Tabby Unknown Domestic Shorthair Cat<p/> Age: 8 MONTHS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K25-178297,A727870,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A727870,Off Site Vet,,Cat,NO AGE,Unknown,Domestic Shorthair,Black / White,"May 05, 2025",Received on,17500 block of  SE 240TH ST,,,,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A727870,Image Copyright HLP Inc. 2025,Received on: 2025-05-05<p/> Found Near: 17500 block of  SE 240TH ST<p/> Description: Black / White Unknown Domestic Shorthair Cat<p/> Age: NO AGE<p/> Current Location: Off Site Vet<p/>,
K25-180286,A731087,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2958346,LOST,Olive “kitty,Cat,Over 1 year<p/>,Female,Domestic Longhair,Unknown,"Jun 26, 2025",Date Lost,300 block of  S St SE,Auburn,,98002,OTHER,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2958346,Image Copyright HLP Inc. 2025,"Description: She is a Tuxedo cat with white mittens and green eyes. She is roughly 10 years old. Last seen 12:00 AM on our front porch. <p/>Age: Over 1 year<p/>Location Lost: 37th Ave S, Seattle WA  98168<p/>Lost Date: 2025-06-26<p/>",
K25-179892,A730443,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2954327,LOST,Chili,Dog,Over 1 year<p/>,Male,Chihuahua - Smooth Coated,Unknown,"Jun 16, 2025",Date Lost,12400 block of  SE 172nd St,Renton,,98058,RENTON,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2954327,Image Copyright HLP Inc. 2025,"Description: black white brown male chihuahua mix has beagle colors he is skittish 7lbs <p/>Age: Over 1 year<p/>Location Lost: 12401 se 172nd st, Renton WA  98058<p/>Lost Date: 2025-06-16<p/>",
K25-180482,A731440,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2960944,LOST,Yuna,Dog,Over 1 year<p/>,Female,Bluetick Hound,White,"Jul 03, 2025",Date Lost,14400 block of  Juanita Dr NE,Kenmore,,98028,KENMORE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2960944,Image Copyright HLP Inc. 2025,"Description: Black and white mid sized dog Lost near St Edwards state park<p/>Age: Over 1 year<p/>Location Lost: 14445 Juanita Dr NE, Kenmore, WA 98028, Kenmore WA  98028<p/>Lost Date: 2025-07-03<p/>",
K25-179584,A729909,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2951154,LOST,Bella,Dog,Over 1 year<p/>,Female,Miniature Poodle,Black,"Jun 08, 2025",Date Lost,JAMES  HILL,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2951154,Image Copyright HLP Inc. 2025,"Description: Black, small, female<p/>Age: Over 1 year<p/>Location Lost: James hill, Kent WA  98031<p/>Lost Date: 2025-06-08<p/>",
K25-180558,A731546,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2962621,In Public Home,,Dog,Unknown<p/>,Male,Miniature Poodle,Black,"Jul 06, 2025",Date Found,Thornton  Creek Park at NE 130th,,,,SEATTLE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2962621,Image Copyright HLP Inc. 2025,"<p/>Age: Unknown<p/>Found Near: 130th & 9th NE, Bellevue WA  98005<p/>Found Date: 2025-07-06<p/>",
K25-179737,A730213,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2952640,In Public Home,2 German She,Dog,Over 1 year<p/>,Male,German Shepherd,Unknown,"Jun 12, 2025",Date Found,98038 98038,,,98038,MAPLE VALLEY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2952640,Image Copyright HLP Inc. 2025,"Description: Two dogs Found today on Se 224th st, Maple Valley, WA<p/>Age: Over 1 year<p/>Found Near: 244th and o? se 224th st, Maple Valley WA  98038<p/>Found Date: 2025-06-12<p/>",
K25-180133,A730899,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2957317,LOST,Umi,Cat,Over 1 year<p/>,Male,Norwegian Forest Cat,Unknown,"Jun 23, 2025",Date Lost,12th  Ave SW & SW Cloverdale St,Seattle,,98106,SEATTLE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2957317,Image Copyright HLP Inc. 2025,"Description: Umi is a very friendly, large cat. He loves to jump into peoples cars. <p/>Age: Over 1 year<p/>Location Lost: 12th Ave sw and cloverdale , Seattle WA  98106<p/>Lost Date: 2025-06-23<p/>",
K25-179697,A730121,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2952304,LOST,Olivia,Cat,Over 1 year<p/>,Female,Domestic Shorthair,Brown,"Jun 09, 2025",Date Lost,"ARLINGTON, ARLINGTON",OR MARYSVIL,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2952304,Image Copyright HLP Inc. 2025,"Description: Brown Tabby with green yellow eyes, Chunky, Young Adult with a pink collar. She was Lost after a car accident and the child who had the cat in the car with him would love to have him back. Looks like a loaf of bread and is friendly to people. <p/>Age: Over 1 year<p/>Location Lost: Arlington, WA, or Marysville, WA, Marysville WA  98270<p/>Lost Date: 2025-06-09<p/>",
K25-180489,A731448,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2961066,LOST,Penelope,Cat,Under 1 year<p/>,Female,American Shorthair,Unknown,"Jun 27, 2025",Date Lost,244th  Ave SE & SE 392nd St,King County,,98022,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2961066,Image Copyright HLP Inc. 2025,"Description: Talico Cat<p/>Age: Under 1 year<p/>Location Lost: 244th Ave SE and SE 392nd St. , Enumclaw WA  98022<p/>Lost Date: 2025-06-27<p/>",
K25-180907,A732080,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A732080,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,5 WEEKS,Neutered Male,Domestic Shorthair,Org Tabby,"Jul 15, 2025",Received on,23400 block of  30TH AVE S,KENT,WA,98032,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A732080,Image Copyright HLP Inc. 2025,"Received on: 2025-07-15<p/> Found Near: 23400 block of  30TH AVE S<p/> Description: Org Tabby Neutered Male Domestic Shorthair Cat<p/> Age: 5 WEEKS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K25-180619,A731674,Regional Animal Services of King County,FOUND,https://kingcounty.gov/en/dept/executive-services/animals-pets-pests/regional-animal-services/overview-about,In RASKC Foster Home,,Cat,6 WEEKS,Female,Domestic Shorthair,Gray Tabby,"Jul 08, 2025",Received on,600 block of  CENTRAL AVE N,KENT,WA,98032,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A731674,Image Copyright HLP Inc. 2025,Received on: 2025-07-08<p/> Found Near: 600 block of  CENTRAL AVE N<p/> Description: Gray Tabby Female Domestic Shorthair Cat<p/> Age: 6 WEEKS<p/> Current Location: In RASKC Foster Home <p/>,
K25-180522,A731503,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A731503,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Ronny,Dog,3 YEARS,Neutered Male,Pit Bull,Sable / White,"Jul 05, 2025",Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A731503,Image Copyright HLP Inc. 2025,"Received on: 2025-07-05<p/> Description: Sable / White<p/>  Neutered Male Pit Bull Dog<p/> Age: 3 YEARS<p/> Adoption Fee: $150<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Ronny and I am available for adoption.<p/><p/>I was brought in by a good Samaritan on 7/5/25.<p/><p/>I am a gentle and loving dog who likes to take things slow. I may get nervous in new situations, so I am looking for a family who understands that I might take some time to warm up. Once I get to know you, I will be a very devoted friend!<p/><p/>I weigh 66.7 lbs and am considered a ""large breed"" dog.<p/><p/>I am an affectionate lovebug who would be thrilled to cuddle up with you at home!<p/><p/>I am full of energy and I love to play! I tend to calm down more when the people around me stay calm. I do best when I have lots of exercise and something to keep my mind busy.<p/><p/>Because of my shy nature, I would do best in a calm, quiet home.<p/><p/><p/>",
K25-180498,A731456,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A731456,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Agate,Dog,10 YEARS,Neutered Male,Pit Bull / Whippet,Brown,"Jul 04, 2025",Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A731456,Image Copyright HLP Inc. 2025,"Received on: 2025-07-04<p/> Description: Brown<p/>  Neutered Male Pit Bull / Whippet Dog<p/> Age: 10 YEARS<p/> Adoption Fee: $100<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Agate and I am available for adoption.<p/><p/>I was brought in by an Animal Control Officer on July 4, 2025.<p/><p/>I weigh 53lbs and am considered a ""medium breed"" dog.<p/><p/>I am an reserved oldman who would be thrilled to hang out with you at home!<p/><p/>Because of my reserved nature, I would do best in a calm, quiet home.<p/><p/>I am a gentle and loving dog who likes to take things slow. I may get nervous in new situations, so I am looking for a family who understands that I might take some time to warm up. Once I get to know you, I will be a very devoted friend!<p/><p/><p/>",
K25-181022,A732235,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A732235,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Dog,9 WEEKS,Male,Border Collie / Alaskan Husky,Tan / Sable,"Jul 18, 2025",Received on,39900 block of  264TH AVE SE,ENUMCLAW,WA,98022,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A732235,Image Copyright HLP Inc. 2025,"Received on: 2025-07-18<p/> Found Near: 39900 block of  264TH AVE SE<p/> Description: Tan / Sable Male Border Collie / Alaskan Husky Dog<p/> Age: 9 WEEKS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K25-180859,A731957,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2965803,LOST,Johnny,Cat,Over 1 year<p/>,Male,Siamese,White,"Jul 12, 2025",Date Lost,100 block of  145TH AVE NE,Bellevue,,98007,BELLEVUE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2965803,Image Copyright HLP Inc. 2025,"<p/>Age: Over 1 year<p/>Location Lost: 120 145th Ave NE, Bellevue WA  98007<p/>Lost Date: 2025-07-12<p/>",
